REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
SA1,2026/07/24 00:00:00,1.0,1668.0
SA1,2026/07/24 00:00:00,2.0,1680.0
SA1,2026/07/24 00:00:00,3.0,1637.0
SA1,2026/07/24 00:00:00,4.0,1604.0
SA1,2026/07/24 00:00:00,5.0,1574.0
SA1,2026/07/24 00:00:00,6.0,1565.0
SA1,2026/07/24 00:00:00,7.0,1541.0
SA1,2026/07/24 00:00:00,8.0,1532.0
SA1,2026/07/24 00:00:00,9.0,1491.0
SA1,2026/07/24 00:00:00,10.0,1474.0
SA1,2026/07/24 00:00:00,11.0,1497.0
SA1,2026/07/24 00:00:00,12.0,1541.0
SA1,2026/07/24 00:00:00,13.0,1607.0
SA1,2026/07/24 00:00:00,14.0,1711.0
SA1,2026/07/24 00:00:00,15.0,1823.0
SA1,2026/07/24 00:00:00,16.0,1986.0
SA1,2026/07/24 00:00:00,17.0,2071.0
SA1,2026/07/24 00:00:00,18.0,2055.0
SA1,2026/07/24 00:00:00,19.0,1890.0
SA1,2026/07/24 00:00:00,20.0,1750.0
SA1,2026/07/24 00:00:00,21.0,1679.0
SA1,2026/07/24 00:00:00,22.0,1773.0
SA1,2026/07/24 00:00:00,23.0,1698.0
SA1,2026/07/24 00:00:00,24.0,1660.0
SA1,2026/07/24 00:00:00,25.0,1667.0
SA1,2026/07/24 00:00:00,26.0,1685.0
SA1,2026/07/24 00:00:00,27.0,1627.0
SA1,2026/07/24 00:00:00,28.0,1565.0
SA1,2026/07/24 00:00:00,29.0,1612.0
SA1,2026/07/24 00:00:00,30.0,1625.0
SA1,2026/07/24 00:00:00,31.0,1642.0
SA1,2026/07/24 00:00:00,32.0,1661.0
SA1,2026/07/24 00:00:00,33.0,1738.0
SA1,2026/07/24 00:00:00,34.0,1857.0
SA1,2026/07/24 00:00:00,35.0,2011.0
SA1,2026/07/24 00:00:00,36.0,2155.0
SA1,2026/07/24 00:00:00,37.0,2243.0
SA1,2026/07/24 00:00:00,38.0,2255.0
SA1,2026/07/24 00:00:00,39.0,2233.0
SA1,2026/07/24 00:00:00,40.0,2202.0
SA1,2026/07/24 00:00:00,41.0,2185.0
SA1,2026/07/24 00:00:00,42.0,2148.0
SA1,2026/07/24 00:00:00,43.0,2102.0
SA1,2026/07/24 00:00:00,44.0,2018.0
SA1,2026/07/24 00:00:00,45.0,1924.0
SA1,2026/07/24 00:00:00,46.0,1819.0
SA1,2026/07/24 00:00:00,47.0,1732.0
SA1,2026/07/24 00:00:00,48.0,1690.0
SA1,2026/07/25 00:00:00,1.0,1652.0
SA1,2026/07/25 00:00:00,2.0,1666.0
SA1,2026/07/25 00:00:00,3.0,1614.0
SA1,2026/07/25 00:00:00,4.0,1579.0
SA1,2026/07/25 00:00:00,5.0,1545.0
SA1,2026/07/25 00:00:00,6.0,1546.0
SA1,2026/07/25 00:00:00,7.0,1501.0
SA1,2026/07/25 00:00:00,8.0,1471.0
SA1,2026/07/25 00:00:00,9.0,1447.0
SA1,2026/07/25 00:00:00,10.0,1420.0
SA1,2026/07/25 00:00:00,11.0,1425.0
SA1,2026/07/25 00:00:00,12.0,1422.0
SA1,2026/07/25 00:00:00,13.0,1415.0
SA1,2026/07/25 00:00:00,14.0,1435.0
SA1,2026/07/25 00:00:00,15.0,1485.0
SA1,2026/07/25 00:00:00,16.0,1557.0
SA1,2026/07/25 00:00:00,17.0,1622.0
SA1,2026/07/25 00:00:00,18.0,1645.0
SA1,2026/07/25 00:00:00,19.0,1626.0
SA1,2026/07/25 00:00:00,20.0,1549.0
SA1,2026/07/25 00:00:00,21.0,1488.0
SA1,2026/07/25 00:00:00,22.0,1462.0
SA1,2026/07/25 00:00:00,23.0,1452.0
SA1,2026/07/25 00:00:00,24.0,1393.0
SA1,2026/07/25 00:00:00,25.0,1259.0
SA1,2026/07/25 00:00:00,26.0,1147.0
SA1,2026/07/25 00:00:00,27.0,1026.0
SA1,2026/07/25 00:00:00,28.0,972.0
SA1,2026/07/25 00:00:00,29.0,1002.0
SA1,2026/07/25 00:00:00,30.0,1022.0
SA1,2026/07/25 00:00:00,31.0,1069.0
SA1,2026/07/25 00:00:00,32.0,1071.0
SA1,2026/07/25 00:00:00,33.0,1181.0
SA1,2026/07/25 00:00:00,34.0,1379.0
SA1,2026/07/25 00:00:00,35.0,1536.0
SA1,2026/07/25 00:00:00,36.0,1708.0
SA1,2026/07/25 00:00:00,37.0,1854.0
SA1,2026/07/25 00:00:00,38.0,1876.0
SA1,2026/07/25 00:00:00,39.0,1852.0
SA1,2026/07/25 00:00:00,40.0,1828.0
SA1,2026/07/25 00:00:00,41.0,1802.0
SA1,2026/07/25 00:00:00,42.0,1771.0
SA1,2026/07/25 00:00:00,43.0,1738.0
SA1,2026/07/25 00:00:00,44.0,1690.0
SA1,2026/07/25 00:00:00,45.0,1626.0
SA1,2026/07/25 00:00:00,46.0,1574.0
SA1,2026/07/25 00:00:00,47.0,1525.0
SA1,2026/07/25 00:00:00,48.0,1534.0
SA1,2026/07/26 00:00:00,1.0,1527.0
SA1,2026/07/26 00:00:00,2.0,1532.0
SA1,2026/07/26 00:00:00,3.0,1490.0
SA1,2026/07/26 00:00:00,4.0,1465.0
SA1,2026/07/26 00:00:00,5.0,1431.0
SA1,2026/07/26 00:00:00,6.0,1388.0
SA1,2026/07/26 00:00:00,7.0,1362.0
SA1,2026/07/26 00:00:00,8.0,1339.0
SA1,2026/07/26 00:00:00,9.0,1336.0
SA1,2026/07/26 00:00:00,10.0,1344.0
SA1,2026/07/26 00:00:00,11.0,1321.0
SA1,2026/07/26 00:00:00,12.0,1305.0
SA1,2026/07/26 00:00:00,13.0,1293.0
SA1,2026/07/26 00:00:00,14.0,1306.0
SA1,2026/07/26 00:00:00,15.0,1319.0
SA1,2026/07/26 00:00:00,16.0,1400.0
SA1,2026/07/26 00:00:00,17.0,1439.0
SA1,2026/07/26 00:00:00,18.0,1442.0
SA1,2026/07/26 00:00:00,19.0,1396.0
SA1,2026/07/26 00:00:00,20.0,1330.0
SA1,2026/07/26 00:00:00,21.0,1273.0
SA1,2026/07/26 00:00:00,22.0,1269.0
SA1,2026/07/26 00:00:00,23.0,1246.0
SA1,2026/07/26 00:00:00,24.0,1168.0
SA1,2026/07/26 00:00:00,25.0,1041.0
SA1,2026/07/26 00:00:00,26.0,911.0
SA1,2026/07/26 00:00:00,27.0,817.0
SA1,2026/07/26 00:00:00,28.0,766.0
SA1,2026/07/26 00:00:00,29.0,713.0
SA1,2026/07/26 00:00:00,30.0,669.0
SA1,2026/07/26 00:00:00,31.0,703.0
SA1,2026/07/26 00:00:00,32.0,814.0
SA1,2026/07/26 00:00:00,33.0,944.0
SA1,2026/07/26 00:00:00,34.0,1141.0
SA1,2026/07/26 00:00:00,35.0,1394.0
SA1,2026/07/26 00:00:00,36.0,1618.0
SA1,2026/07/26 00:00:00,37.0,1766.0
SA1,2026/07/26 00:00:00,38.0,1832.0
SA1,2026/07/26 00:00:00,39.0,1813.0
SA1,2026/07/26 00:00:00,40.0,1788.0
SA1,2026/07/26 00:00:00,41.0,1740.0
SA1,2026/07/26 00:00:00,42.0,1716.0
SA1,2026/07/26 00:00:00,43.0,1682.0
SA1,2026/07/26 00:00:00,44.0,1640.0
SA1,2026/07/26 00:00:00,45.0,1568.0
SA1,2026/07/26 00:00:00,46.0,1513.0
SA1,2026/07/26 00:00:00,47.0,1445.0
SA1,2026/07/26 00:00:00,48.0,1452.0
SA1,2026/07/27 00:00:00,1.0,1440.0
SA1,2026/07/27 00:00:00,2.0,1479.0
SA1,2026/07/27 00:00:00,3.0,1457.0
SA1,2026/07/27 00:00:00,4.0,1456.0
SA1,2026/07/27 00:00:00,5.0,1425.0
SA1,2026/07/27 00:00:00,6.0,1400.0
SA1,2026/07/27 00:00:00,7.0,1375.0
SA1,2026/07/27 00:00:00,8.0,1362.0
SA1,2026/07/27 00:00:00,9.0,1355.0
SA1,2026/07/27 00:00:00,10.0,1365.0
SA1,2026/07/27 00:00:00,11.0,1376.0
SA1,2026/07/27 00:00:00,12.0,1379.0
SA1,2026/07/27 00:00:00,13.0,1439.0
SA1,2026/07/27 00:00:00,14.0,1546.0
SA1,2026/07/27 00:00:00,15.0,1711.0
SA1,2026/07/27 00:00:00,16.0,1900.0
SA1,2026/07/27 00:00:00,17.0,1962.0
SA1,2026/07/27 00:00:00,18.0,1848.0
SA1,2026/07/27 00:00:00,19.0,1610.0
SA1,2026/07/27 00:00:00,20.0,1606.0
SA1,2026/07/27 00:00:00,21.0,1566.0
SA1,2026/07/27 00:00:00,22.0,1468.0
SA1,2026/07/27 00:00:00,23.0,1328.0
SA1,2026/07/27 00:00:00,24.0,1336.0
SA1,2026/07/27 00:00:00,25.0,1215.0
SA1,2026/07/27 00:00:00,26.0,1145.0
SA1,2026/07/27 00:00:00,27.0,1138.0
SA1,2026/07/27 00:00:00,28.0,1155.0
SA1,2026/07/27 00:00:00,29.0,1063.0
SA1,2026/07/27 00:00:00,30.0,1048.0
SA1,2026/07/27 00:00:00,31.0,1034.0
SA1,2026/07/27 00:00:00,32.0,1124.0
SA1,2026/07/27 00:00:00,33.0,1287.0
SA1,2026/07/27 00:00:00,34.0,1480.0
SA1,2026/07/27 00:00:00,35.0,1690.0
SA1,2026/07/27 00:00:00,36.0,1864.0
SA1,2026/07/27 00:00:00,37.0,1985.0
SA1,2026/07/27 00:00:00,38.0,2065.0
