date_key,full_date,year,month,day_of_month,day_of_week,is_weekend
2026-06-15,2026-06-15,2026,6,15,1,0
2026-06-16,2026-06-16,2026,6,16,2,0
2026-06-17,2026-06-17,2026,6,17,3,0
2026-06-18,2026-06-18,2026,6,18,4,0
2026-06-19,2026-06-19,2026,6,19,5,0
2026-06-20,2026-06-20,2026,6,20,6,1
2026-06-21,2026-06-21,2026,6,21,0,1
2026-06-22,2026-06-22,2026,6,22,1,0
2026-06-23,2026-06-23,2026,6,23,2,0
2026-06-24,2026-06-24,2026,6,24,3,0
2026-06-25,2026-06-25,2026,6,25,4,0
2026-06-26,2026-06-26,2026,6,26,5,0
2026-06-27,2026-06-27,2026,6,27,6,1
2026-06-28,2026-06-28,2026,6,28,0,1
2026-06-29,2026-06-29,2026,6,29,1,0
2026-06-30,2026-06-30,2026,6,30,2,0
2026-07-01,2026-07-01,2026,7,1,3,0
2026-07-02,2026-07-02,2026,7,2,4,0
2026-07-03,2026-07-03,2026,7,3,5,0
2026-07-04,2026-07-04,2026,7,4,6,1
2026-07-05,2026-07-05,2026,7,5,0,1
2026-07-06,2026-07-06,2026,7,6,1,0
2026-07-07,2026-07-07,2026,7,7,2,0
2026-07-08,2026-07-08,2026,7,8,3,0
2026-07-09,2026-07-09,2026,7,9,4,0
2026-07-10,2026-07-10,2026,7,10,5,0
2026-07-11,2026-07-11,2026,7,11,6,1
2026-07-12,2026-07-12,2026,7,12,0,1
2026-07-13,2026-07-13,2026,7,13,1,0
2026-07-14,2026-07-14,2026,7,14,2,0
2026-07-15,2026-07-15,2026,7,15,3,0
2026-07-16,2026-07-16,2026,7,16,4,0
2026-07-17,2026-07-17,2026,7,17,5,0
2026-07-18,2026-07-18,2026,7,18,6,1
2026-07-19,2026-07-19,2026,7,19,0,1
2026-07-20,2026-07-20,2026,7,20,1,0
2026-07-21,2026-07-21,2026,7,21,2,0
2026-07-22,2026-07-22,2026,7,22,3,0
2026-07-23,2026-07-23,2026,7,23,4,0
2026-07-24,2026-07-24,2026,7,24,5,0
2026-07-25,2026-07-25,2026,7,25,6,1
2026-07-26,2026-07-26,2026,7,26,0,1
2026-07-27,2026-07-27,2026,7,27,1,0
2026-07-28,2026-07-28,2026,7,28,2,0
2026-07-29,2026-07-29,2026,7,29,3,0
2026-07-30,2026-07-30,2026,7,30,4,0
2026-07-31,2026-07-31,2026,7,31,5,0
2026-08-01,2026-08-01,2026,8,1,6,1
2026-08-02,2026-08-02,2026,8,2,0,1
2026-08-03,2026-08-03,2026,8,3,1,0
2026-08-04,2026-08-04,2026,8,4,2,0
2026-08-05,2026-08-05,2026,8,5,3,0
2026-08-06,2026-08-06,2026,8,6,4,0
2026-08-07,2026-08-07,2026,8,7,5,0
2026-08-08,2026-08-08,2026,8,8,6,1
2026-08-09,2026-08-09,2026,8,9,0,1
2026-08-10,2026-08-10,2026,8,10,1,0
2026-08-11,2026-08-11,2026,8,11,2,0
2026-08-12,2026-08-12,2026,8,12,3,0
2026-08-13,2026-08-13,2026,8,13,4,0
