region_key,date_key,period_id,settlement_datetime,demand_mw
SA1,2026-07-24,1,2026-07-24 00:00:00,1668.0
SA1,2026-07-24,2,2026-07-24 00:00:00,1680.0
SA1,2026-07-24,3,2026-07-24 00:00:00,1637.0
SA1,2026-07-24,4,2026-07-24 00:00:00,1604.0
SA1,2026-07-24,5,2026-07-24 00:00:00,1574.0
SA1,2026-07-24,6,2026-07-24 00:00:00,1565.0
SA1,2026-07-24,7,2026-07-24 00:00:00,1541.0
SA1,2026-07-24,8,2026-07-24 00:00:00,1532.0
SA1,2026-07-24,9,2026-07-24 00:00:00,1491.0
SA1,2026-07-24,10,2026-07-24 00:00:00,1474.0
SA1,2026-07-24,11,2026-07-24 00:00:00,1497.0
SA1,2026-07-24,12,2026-07-24 00:00:00,1541.0
SA1,2026-07-24,13,2026-07-24 00:00:00,1607.0
SA1,2026-07-24,14,2026-07-24 00:00:00,1711.0
SA1,2026-07-24,15,2026-07-24 00:00:00,1823.0
SA1,2026-07-24,16,2026-07-24 00:00:00,1986.0
SA1,2026-07-24,17,2026-07-24 00:00:00,2071.0
SA1,2026-07-24,18,2026-07-24 00:00:00,2055.0
SA1,2026-07-24,19,2026-07-24 00:00:00,1890.0
SA1,2026-07-24,20,2026-07-24 00:00:00,1750.0
SA1,2026-07-24,21,2026-07-24 00:00:00,1679.0
SA1,2026-07-24,22,2026-07-24 00:00:00,1773.0
SA1,2026-07-24,23,2026-07-24 00:00:00,1698.0
SA1,2026-07-24,24,2026-07-24 00:00:00,1660.0
SA1,2026-07-24,25,2026-07-24 00:00:00,1667.0
SA1,2026-07-24,26,2026-07-24 00:00:00,1685.0
SA1,2026-07-24,27,2026-07-24 00:00:00,1627.0
SA1,2026-07-24,28,2026-07-24 00:00:00,1565.0
SA1,2026-07-24,29,2026-07-24 00:00:00,1612.0
SA1,2026-07-24,30,2026-07-24 00:00:00,1625.0
SA1,2026-07-24,31,2026-07-24 00:00:00,1642.0
SA1,2026-07-24,32,2026-07-24 00:00:00,1661.0
SA1,2026-07-24,33,2026-07-24 00:00:00,1738.0
SA1,2026-07-24,34,2026-07-24 00:00:00,1857.0
SA1,2026-07-24,35,2026-07-24 00:00:00,2011.0
SA1,2026-07-24,36,2026-07-24 00:00:00,2155.0
SA1,2026-07-24,37,2026-07-24 00:00:00,2243.0
SA1,2026-07-24,38,2026-07-24 00:00:00,2255.0
SA1,2026-07-24,39,2026-07-24 00:00:00,2233.0
SA1,2026-07-24,40,2026-07-24 00:00:00,2202.0
SA1,2026-07-24,41,2026-07-24 00:00:00,2185.0
SA1,2026-07-24,42,2026-07-24 00:00:00,2148.0
SA1,2026-07-24,43,2026-07-24 00:00:00,2102.0
SA1,2026-07-24,44,2026-07-24 00:00:00,2018.0
SA1,2026-07-24,45,2026-07-24 00:00:00,1924.0
SA1,2026-07-24,46,2026-07-24 00:00:00,1819.0
SA1,2026-07-24,47,2026-07-24 00:00:00,1732.0
SA1,2026-07-24,48,2026-07-24 00:00:00,1690.0
SA1,2026-07-25,1,2026-07-25 00:00:00,1652.0
SA1,2026-07-25,2,2026-07-25 00:00:00,1666.0
SA1,2026-07-25,3,2026-07-25 00:00:00,1614.0
SA1,2026-07-25,4,2026-07-25 00:00:00,1579.0
SA1,2026-07-25,5,2026-07-25 00:00:00,1545.0
SA1,2026-07-25,6,2026-07-25 00:00:00,1546.0
SA1,2026-07-25,7,2026-07-25 00:00:00,1501.0
SA1,2026-07-25,8,2026-07-25 00:00:00,1471.0
SA1,2026-07-25,9,2026-07-25 00:00:00,1447.0
SA1,2026-07-25,10,2026-07-25 00:00:00,1420.0
SA1,2026-07-25,11,2026-07-25 00:00:00,1425.0
SA1,2026-07-25,12,2026-07-25 00:00:00,1422.0
SA1,2026-07-25,13,2026-07-25 00:00:00,1415.0
SA1,2026-07-25,14,2026-07-25 00:00:00,1435.0
SA1,2026-07-25,15,2026-07-25 00:00:00,1485.0
SA1,2026-07-25,16,2026-07-25 00:00:00,1557.0
SA1,2026-07-25,17,2026-07-25 00:00:00,1622.0
SA1,2026-07-25,18,2026-07-25 00:00:00,1645.0
SA1,2026-07-25,19,2026-07-25 00:00:00,1626.0
SA1,2026-07-25,20,2026-07-25 00:00:00,1549.0
SA1,2026-07-25,21,2026-07-25 00:00:00,1488.0
SA1,2026-07-25,22,2026-07-25 00:00:00,1462.0
SA1,2026-07-25,23,2026-07-25 00:00:00,1452.0
SA1,2026-07-25,24,2026-07-25 00:00:00,1393.0
SA1,2026-07-25,25,2026-07-25 00:00:00,1259.0
SA1,2026-07-25,26,2026-07-25 00:00:00,1147.0
SA1,2026-07-25,27,2026-07-25 00:00:00,1026.0
SA1,2026-07-25,28,2026-07-25 00:00:00,972.0
SA1,2026-07-25,29,2026-07-25 00:00:00,1002.0
SA1,2026-07-25,30,2026-07-25 00:00:00,1022.0
SA1,2026-07-25,31,2026-07-25 00:00:00,1069.0
SA1,2026-07-25,32,2026-07-25 00:00:00,1071.0
SA1,2026-07-25,33,2026-07-25 00:00:00,1181.0
SA1,2026-07-25,34,2026-07-25 00:00:00,1379.0
SA1,2026-07-25,35,2026-07-25 00:00:00,1536.0
SA1,2026-07-25,36,2026-07-25 00:00:00,1708.0
SA1,2026-07-25,37,2026-07-25 00:00:00,1854.0
SA1,2026-07-25,38,2026-07-25 00:00:00,1876.0
SA1,2026-07-25,39,2026-07-25 00:00:00,1852.0
SA1,2026-07-25,40,2026-07-25 00:00:00,1828.0
SA1,2026-07-25,41,2026-07-25 00:00:00,1802.0
SA1,2026-07-25,42,2026-07-25 00:00:00,1771.0
SA1,2026-07-25,43,2026-07-25 00:00:00,1738.0
SA1,2026-07-25,44,2026-07-25 00:00:00,1690.0
SA1,2026-07-25,45,2026-07-25 00:00:00,1626.0
SA1,2026-07-25,46,2026-07-25 00:00:00,1574.0
SA1,2026-07-25,47,2026-07-25 00:00:00,1525.0
SA1,2026-07-25,48,2026-07-25 00:00:00,1534.0
SA1,2026-07-26,1,2026-07-26 00:00:00,1527.0
SA1,2026-07-26,2,2026-07-26 00:00:00,1532.0
SA1,2026-07-26,3,2026-07-26 00:00:00,1490.0
SA1,2026-07-26,4,2026-07-26 00:00:00,1465.0
SA1,2026-07-26,5,2026-07-26 00:00:00,1431.0
SA1,2026-07-26,6,2026-07-26 00:00:00,1388.0
SA1,2026-07-26,7,2026-07-26 00:00:00,1362.0
SA1,2026-07-26,8,2026-07-26 00:00:00,1339.0
SA1,2026-07-26,9,2026-07-26 00:00:00,1336.0
SA1,2026-07-26,10,2026-07-26 00:00:00,1344.0
SA1,2026-07-26,11,2026-07-26 00:00:00,1321.0
SA1,2026-07-26,12,2026-07-26 00:00:00,1305.0
SA1,2026-07-26,13,2026-07-26 00:00:00,1293.0
SA1,2026-07-26,14,2026-07-26 00:00:00,1306.0
SA1,2026-07-26,15,2026-07-26 00:00:00,1319.0
SA1,2026-07-26,16,2026-07-26 00:00:00,1400.0
SA1,2026-07-26,17,2026-07-26 00:00:00,1439.0
SA1,2026-07-26,18,2026-07-26 00:00:00,1442.0
SA1,2026-07-26,19,2026-07-26 00:00:00,1396.0
SA1,2026-07-26,20,2026-07-26 00:00:00,1330.0
SA1,2026-07-26,21,2026-07-26 00:00:00,1273.0
SA1,2026-07-26,22,2026-07-26 00:00:00,1269.0
SA1,2026-07-26,23,2026-07-26 00:00:00,1246.0
SA1,2026-07-26,24,2026-07-26 00:00:00,1168.0
SA1,2026-07-26,25,2026-07-26 00:00:00,1041.0
SA1,2026-07-26,26,2026-07-26 00:00:00,911.0
SA1,2026-07-26,27,2026-07-26 00:00:00,817.0
SA1,2026-07-26,28,2026-07-26 00:00:00,766.0
SA1,2026-07-26,29,2026-07-26 00:00:00,713.0
SA1,2026-07-26,30,2026-07-26 00:00:00,669.0
SA1,2026-07-26,31,2026-07-26 00:00:00,703.0
SA1,2026-07-26,32,2026-07-26 00:00:00,814.0
SA1,2026-07-26,33,2026-07-26 00:00:00,944.0
SA1,2026-07-26,34,2026-07-26 00:00:00,1141.0
SA1,2026-07-26,35,2026-07-26 00:00:00,1394.0
SA1,2026-07-26,36,2026-07-26 00:00:00,1618.0
SA1,2026-07-26,37,2026-07-26 00:00:00,1766.0
SA1,2026-07-26,38,2026-07-26 00:00:00,1832.0
SA1,2026-07-26,39,2026-07-26 00:00:00,1813.0
SA1,2026-07-26,40,2026-07-26 00:00:00,1788.0
SA1,2026-07-26,41,2026-07-26 00:00:00,1740.0
SA1,2026-07-26,42,2026-07-26 00:00:00,1716.0
SA1,2026-07-26,43,2026-07-26 00:00:00,1682.0
SA1,2026-07-26,44,2026-07-26 00:00:00,1640.0
SA1,2026-07-26,45,2026-07-26 00:00:00,1568.0
SA1,2026-07-26,46,2026-07-26 00:00:00,1513.0
SA1,2026-07-26,47,2026-07-26 00:00:00,1445.0
SA1,2026-07-26,48,2026-07-26 00:00:00,1452.0
SA1,2026-07-27,1,2026-07-27 00:00:00,1440.0
SA1,2026-07-27,2,2026-07-27 00:00:00,1479.0
SA1,2026-07-27,3,2026-07-27 00:00:00,1457.0
SA1,2026-07-27,4,2026-07-27 00:00:00,1456.0
SA1,2026-07-27,5,2026-07-27 00:00:00,1425.0
SA1,2026-07-27,6,2026-07-27 00:00:00,1400.0
SA1,2026-07-27,7,2026-07-27 00:00:00,1375.0
SA1,2026-07-27,8,2026-07-27 00:00:00,1362.0
SA1,2026-07-27,9,2026-07-27 00:00:00,1355.0
SA1,2026-07-27,10,2026-07-27 00:00:00,1365.0
SA1,2026-07-27,11,2026-07-27 00:00:00,1376.0
SA1,2026-07-27,12,2026-07-27 00:00:00,1379.0
SA1,2026-07-27,13,2026-07-27 00:00:00,1439.0
SA1,2026-07-27,14,2026-07-27 00:00:00,1546.0
SA1,2026-07-27,15,2026-07-27 00:00:00,1711.0
SA1,2026-07-27,16,2026-07-27 00:00:00,1900.0
SA1,2026-07-27,17,2026-07-27 00:00:00,1962.0
SA1,2026-07-27,18,2026-07-27 00:00:00,1848.0
SA1,2026-07-27,19,2026-07-27 00:00:00,1610.0
SA1,2026-07-27,20,2026-07-27 00:00:00,1606.0
SA1,2026-07-27,21,2026-07-27 00:00:00,1566.0
SA1,2026-07-27,22,2026-07-27 00:00:00,1468.0
SA1,2026-07-27,23,2026-07-27 00:00:00,1328.0
SA1,2026-07-27,24,2026-07-27 00:00:00,1336.0
SA1,2026-07-27,25,2026-07-27 00:00:00,1215.0
SA1,2026-07-27,26,2026-07-27 00:00:00,1145.0
SA1,2026-07-27,27,2026-07-27 00:00:00,1138.0
SA1,2026-07-27,28,2026-07-27 00:00:00,1155.0
